월,순위,타이틀,가수
5,27,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
5,28,What is Love?,TWICE (트와이스)
5,29,해야 (Sunrise),여자친구 (GFRIEND)
5,30,Segno,뉴이스트
5,31,마지막처럼,BLACKPINK
5,32,별이 빛나는 밤,마마무 (Mamamoo)
5,33,ME&YOU,EXID
5,34,REALLY REALLY,WINNER
5,35,누아르 (Noir),선미
5,36,에너제틱 (Energetic),Wanna One (워너원)
5,37,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
5,38,밤 (Time for the moon night),여자친구 (GFRIEND)
5,39,너나 해 (Egotistic),마마무 (Mamamoo)
5,40,CHEER UP,TWICE (트와이스)
5,41,1도 없어,Apink (에이핑크)
5,42,몰라도 너무 몰라,WINNER
5,43,아주 NICE,세븐틴
5,44,Heart Shaker,TWICE (트와이스)
5,45,불타오르네 (FIRE),방탄소년단
5,46,동물의 왕국,WINNER
5,47,Runaway,에릭남 (Eric Nam)
5,48,BASS,뉴이스트
5,49,LIKEY,TWICE (트와이스)
5,50,불장난,BLACKPINK
5,51,Love U,청하
5,52,봄바람,Wanna One (워너원)
5,53,%% (응응),Apink (에이핑크)
5,54,BREATHE,AB6IX (에이비식스)
5,55,BAAM,모모랜드 (MOMOLAND)
5,56,Talk about love,뉴이스트
5,57,LATATA,(여자)아이들
5,58,SHAKE IT,씨스타
5,59,Why Don't You Know (Feat. 넉살),청하
5,60,Different,뉴이스트
5,61,Bad Boy,Red Velvet (레드벨벳)
5,62,TT,TWICE (트와이스)
5,63,Fine,뉴이스트
5,64,I NEED U,방탄소년단
5,65,어쩌나,세븐틴
5,66,가시나,선미
5,67,비밀정원,오마이걸 (OH MY GIRL)
5,68,한(一),(여자)아이들
5,69,Decalcomanie (데칼코마니),마마무 (Mamamoo)
5,70,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
5,71,비행기,거북이
5,72,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
5,73,KNOCK KNOCK,TWICE (트와이스)
5,74,그 시절 우리가 사랑했던 우리 (Beautiful Days),러블리즈
5,75,Why,태연 (TAEYEON)
5,76,New Face,싸이 (PSY)
5,77,여름여름해 (Sunny Summer),여자친구 (GFRIEND)
5,78,좋은 날,아이유
5,79,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
5,80,빙글뱅글 (Bingle Bangle),AOA
5,81,Save ME,방탄소년단
5,82,스물셋,아이유
5,83,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
5,84,시간을 달려서 (Rough),여자친구 (GFRIEND)
5,85,ISLAND,WINNER
5,86,너랑 나,아이유
5,87,BOOMERANG (부메랑),Wanna One (워너원)
5,88,하루 끝,아이유
5,89,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends"
5,90,주인공,선미
5,91,8282,다비치
5,92,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
5,93,알러뷰,EXID
5,94,OOH-AHH하게,TWICE (트와이스)
5,95,RBB (Really Bad Boy),Red Velvet (레드벨벳)
5,96,BIRD,하성운
5,97,Loving U (러빙유),씨스타
5,98,죽겠다 (KILLING ME),iKON
5,99,순정 (純情),코요태
5,100,Dejavu,뉴이스트 W
6,1,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이
6,2,FANCY,TWICE (트와이스)
6,3,AH YEAH (아예),WINNER
6,4,달라달라,ITZY (있지)
6,5,벌써 12시,청하
6,6,짐살라빔 (Zimzalabim),Red Velvet (레드벨벳)
6,7,멍청이(twit),화사 (Hwa Sa)
6,8,비올레타,IZ*ONE (아이즈원)
