발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,28 Reasons,슬기(SEULGI),,,,
,설레임,MOST(모스트),,,,
,Garbage (Vocal. 신민진),인천명선초등학교,,,,
,상사화,기록희,,,,
,말하자면,김성재,,,,
,최종병기 앨리스,정채웅,,,,
,My Promise To You,플레야(Playa),,,,
,Good Luck,손석민,,,,
,HELLO,TREASURE(트레저),,,,
,Sugarcoat,AB6IX (에이비식스),,,,
,기어이 또 (Still Here),원위 (ONEWE),,,,
,Shine,페퍼톤스 (PEPPERTONES),,,,
,"설레임, 그대로 (feat. Corelee)",유타민,,,,
,언제나 행복해,정다경,,,,
,롤러코스터,김예지나,,,,
,불꺼진 그대 창문만이,윤기원,,,,
,I Want To Be,크로스오버(Krssover),,,,
3,Chitty Chitty Bang Bang,하모나이즈,,,,
2022.09.26~2022.10.02,행복을 주는 사람,이세준(유리상자),,,,
2022.09.26~2022.10.02,All My Friends Are High But (Feat. D2ear),Sof'boy Han,,,,
2022.09.26~2022.10.02,Deja Vu (Prod. BIG Naughty (서동현)),sokodomo,,,,
2022.09.26~2022.10.02,추억성 (Feat.테이),디핵(D-Hack),,,,
2022.09.26~2022.10.02,Mushroom (Feat. 임세모),정튠(Jungtune),,,,
2022.09.26~2022.10.02,너에게로 가는 길 (영화 '동감' X 엔플라잉 (N.Flying)),엔플라잉(N.Flying),,,,
2022.09.26~2022.10.02,POPPIA (SAUDI ARABIA ver.),펜타곤,,,,
2022.09.26~2022.10.02,Viva la Vida,데이스타(Daystar),,,,
2022.09.26~2022.10.02,LOVE ME LIKE (Eng Ver.),OMEGA X (오메가엑스),,,,
2022.09.26~2022.10.02,LIAR,제이창(Jay Chang),,,,
2022.09.26~2022.10.02,Choice (Feat. LVIN),알샤(R.sha),,,,
2022.09.26~2022.10.02,Time,Choysauce,,,,
2022.09.26~2022.10.02,City Walk,bounce kisses,,,,
2022.09.26~2022.10.02,regret,Savanna Leigh,,,,
2022.09.26~2022.10.02,All Used Up,M3nded Heart,,,,
2022.09.26~2022.10.02,Blah Blah Blah,Kid Pesto,,,,
2022.09.26~2022.10.02,Fact of the Matter,Imani Graham,,,,
2022.09.26~2022.10.02,Hideaway,Sapphir,,,,
2022.09.26~2022.10.02,Last Time,Aingee,,,,
2022.09.26~2022.10.02,this my life,R3AL A$F,,,,
2022.09.26~2022.10.02,next to you,aye6,,,,
2022.09.26~2022.10.02,Voices,$AVAGEKITTY,,,,
2022.09.26~2022.10.02,Blue Night Shadow,Delaki,,,,
2022.09.26~2022.10.02,Hurting For a Reason,TheNobodyMan,,,,
2022.09.26~2022.10.02,I Knew You,Andy Sanchez,,,,
2022.09.26~2022.10.02,Trance,The New Of The Tower,,,,
2022.09.26~2022.10.02,143-ILU,Redeasy,,,,
2022.09.26~2022.10.02,Wondering,Nolan Donato,,,,
2022.09.26~2022.10.02,Fucking Clever,Ian Wood,,,,
2022.09.26~2022.10.02,Sick All Summer,supercomputer,,,,
2022.09.26~2022.10.02,Center Stage,CircusP,,,,
2022.09.26~2022.10.02,불면궁상 (feat. 버벌진트),노도(Nodo),,,,
2022.09.26~2022.10.02,Play,피어스(PIERCE),,,,
2022.09.26~2022.10.02,Lucky,남진남,,,,
2022.09.26~2022.10.02,쉿 음 하,에스테반,,,,
2022.09.26~2022.10.02,이상한 사랑에 빠진 소년에게 (Prod.Zantin),라이오네시스 (LIONESSES),,,,
2022.09.26~2022.10.02,대왕오징오징오징오징어 (Feat. 김수환),Oak Tree (오크트리),,,,
2022.09.26~2022.10.02,찬찬찬,조연호,,,,
2022.09.26~2022.10.02,Moon&Back,박지훈,,,,
2022.09.26~2022.10.02,불이나,EXID,,,,
2022.09.26~2022.10.02,Stay For Me (feat.서인국),HYUK(혁),,,,
2022.09.26~2022.10.02,별 빛이 내린다,오월오일 (  ),,,,
2022.09.26~2022.10.02,KKONDAE (feat. Mxxg),Gari,,,,
2022.09.26~2022.10.02,메이크 썸 노이즈 (Make Some Noise),터보트로닉(Turbotronic),,,,
2022.09.26~2022.10.02,외로운 예술가,꼬마견(Ggomagyun),,,,
2022.09.26~2022.10.02,두 번째 데이트,Danny K,,,,
2022.09.26~2022.10.02,God's Gift To Me,AMOS(아모스),,,,
2022.09.26~2022.10.02,자격지심 (Feat. ZICO),BE'O (비오),,,,
2022.09.26~2022.10.02,별(권지유),권지유,,,,
2022.09.26~2022.10.02,StarLight,LIMELIGHT (라임라잇),,,,
2022.09.26~2022.10.02,WA DA DA (Japanese version) - from THE FIRST TAKE,Kep1er (케플러),,,,
2022.09.26~2022.10.02,Wing Wing - from THE FIRST TAKE,Kep1er (케플러),,,,
2022.09.26~2022.10.02,다중인격,윤종신,,,,
2022.09.26~2022.10.02,초코퐁당,Jaira Song,,,,
2022.09.26~2022.10.02,CHAMPAGNE (샴페인),더 베인(The Vane),,,,
2022.09.26~2022.10.02,싱인더그린 (Sing in the Green),윤상,,,,
2022.09.26~2022.10.02,Pure cure (feat. Chasu),omyo,,,,
2022.09.26~2022.10.02,스케치북,박신영,,,,
2022.09.26~2022.10.02,Love Speak,SSame(쎄임),,,,
2022.09.26~2022.10.02,Drip N' Drop,미래소년 (MIRAE),,,,
2022.09.26~2022.10.02,너의 바다(PARADISE) (Feat. woOnim),INVIZ,,,,
2022.09.26~2022.10.02,Deep in a Dream,2H FLASH,,,,
2022.09.26~2022.10.02,Love Language,라보 (RABO),,,,
2022.09.26~2022.10.02,피치트리(Peach Tree),TREM,,,,
2022.09.26~2022.10.02,PARTY ROCK,CRAVITY,,,,
2022.09.26~2022.10.02,아니 근데,Obze (오브제),,,,
2022.09.26~2022.10.02,괜찮은 척 (Tropicalia ver.),아키버드(Aquibird),,,,
2022.09.26~2022.10.02,하고싶어,라용수,,,,
