발매일,타이틀,아티스트,프로듀서,점수
2022.03.21~2022.03.27,Beg For Me,Red Velvet (레드벨벳),"Josefin Glenmark,Gavin Jones,Ludwig Lindell",2.4245809
2022.03.21~2022.03.27,DAYDREAM,하이라이트(Highlight),"KZ,김태영,HOFF",0.0561865
2022.03.21~2022.03.27,Don't Leave,하이라이트(Highlight),"VO3E,이기광,Frederik Jyll",0.0561865
2022.03.21~2022.03.27,PLAY,하이라이트(Highlight),"빅싼초,문 킴,이기광,김소명",0.0561865
2022.03.21~2022.03.27,Lovely Day,하이라이트(Highlight),"AnoTHeR,Track 9",0.0561865
2022.03.21~2022.03.27,Classic,하이라이트(Highlight),"이기광,NODAY,Gyuberlake,원준,l.vin ",0.0561865
2022.03.14~2022.03.20,coNEXTion (Age of Light),NCT U,nan,0.2721363
2022.03.14~2022.03.20,꿀 (HONEY),솔라 (마마무),"Dokkun,용배,솔라,김민기",0.0306631
2022.03.14~2022.03.20,Stay Alive,프로미스나인,nan,0.1908343
2022.03.14~2022.03.20,"다시, 봄",뉴이스트,nan,0.1309611
2022.03.14~2022.03.20,TOMBOY,(여자)아이들,nan,1.0306347
2022.03.14~2022.03.20,VILLAIN DIES,(여자)아이들,"전소연,The Proof",1.0306347
2022.03.07~2022.03.13,ESPER,권은비,nan,0.0125121
2022.03.07~2022.03.13,Ven para,Weeekly (위클리),nan,0.274073
2022.02.28~2022.03.06,You Are Mine,VICTON(빅톤),nan,0.009068
2022.02.28~2022.03.06,사나이 가는 길 (폼생폼사),효린,nan,0.19525
2022.02.28~2022.03.06,너라는 꿈,하성운,nan,0.0487992
2022.02.28~2022.03.06,CHIQUITA,로켓펀치(Rocket Punch),nan,0.0010934
2022.02.21~2022.02.27,TIME,권은비,nan,0.0125121
2022.02.21~2022.02.27,RUN2U,STAYC(스테이씨),"블랙아이드필승,전군,FLYT,라도",0.4207853
2022.02.21~2022.02.27,YOUNG LUV,STAYC(스테이씨),"블랙아이드필승,전군,FLYT",0.4207853
2022.02.21~2022.02.27,SAME SAME,STAYC(스테이씨),"블랙아이드필승,전군,라도",0.4207853
2022.02.21~2022.02.27,노래 (The Song),비투비,nan,0.0689971
