가수,점수
KaelinEllis,0.0152139
Homegrown,0.0152139
blackedition,0.0151614
Wilbart'Vedo'McCoyIII,0.0150141
Rickbridges,0.0149655
GustavKarlstrom,0.0149033
MajaKeuc,0.0149033
AndreasOberg,0.0149033
Anne-Marie,0.0148955
StevenFranks,0.0148955
JaydenHenry,0.0148282
조영수,0.0147069
AlbinNordqvist,0.0144165
GabrielBrunellBrandes,0.0144165
휘인(WheeIn),0.014391
AndreaMartin,0.0143531
TamaraJohnson,0.0143531
CharlesHinshaw,0.0143531
IvanMatias,0.0143531
Coko,0.0143531
AllenGordonJr,0.0143531
DavidBrown,0.0143531
윤종신,0.0142482
규현(KYUHYUN),0.0142341
솔라,0.0139518
WendyWang,0.0137171
MoZella,0.0137171
AllakoiPeete,0.0137171
호시,0.013671
문정규,0.0136561
문킴,0.0135675
김성태,0.0135066
신민경,0.0134886
윤종성,0.0134886
주찬양,0.013454
Lavin,0.013454
진리,0.0134055
AnthonyPavel,0.0133572
JustinLucas,0.0133572
TENZO,0.0133444
MUNA,0.0133444
TheFamily,0.013198
CharliTaft,0.0130034
Daniel'Obi'Klein,0.0130034
양준일,0.0129594
DewainWhitmore,0.0128636
AndrewHey,0.0128636
Patrick'JQue'Smith,0.0128636
HarveyMasonJr.,0.0128636
BrittBurton,0.0128636
KevinRandolph,0.0128636
서원진,0.012741
JamesF.Reynolds,0.0127105
Engeline,0.0127105
GabrielBrandes,0.0127105
BrittPols,0.0127105
ARCADES,0.0127105
MaxLynedochGraham,0.0127105
MattThomson,0.0127105
뉴이스트W,0.012688
권은비,0.0125121
숀(SHAUN),0.0125028
숀,0.0125028
LaurenAquilina,0.0124956
TesungKim,0.012489
소녀시대-Oh!GG,0.0124682
주헌,0.0122785
Ye-Yo!,0.0122785
조성현,0.0121119
Tiyon'TC'Mack,0.01211
Sukiee,0.0120665
김선민,0.0120665
키(KEY),0.0120545
룩원,0.0118056
Yuth,0.0118015
Clam,0.0118015
P.O,0.0117226
P.O(피오),0.0117226
MINO(송민호),0.0117226
