Id,Label,timeset,Weighted Degree,eigencentrality
AliceVicious,AliceVicious,,0.062404,0.04979
RonPerry,RonPerry,,0.134655,0.064554
우빈,우빈,,0.211632,0.046205
ChrisYoung,ChrisYoung,,0.028745,0.014219
Misunderstood,Misunderstood,,0.012714,0.046887
용배,용배,,0.017605,0.04979
이스란,이스란,,0.119702,0.10989
HOFF,HOFF,,0.004514,0.016462
HayleyAitken,HayleyAitken,,0.022159,0.138386
보아,보아,,0.014301,0.088821
RyanTedder,RyanTedder,,0.011002,0.138386
방찬,방찬,,0.005762,0.005448
다비치,다비치,,0.089987,0.071147
방시혁,방시혁,,0.147319,0.064554
부끄뚱,부끄뚱,,0.070808,0.009157
AdamMcInnis,AdamMcInnis,,0.125593,0.088821
이단옆차기,이단옆차기,,0.173282,0.092481
AshleyAlisha,AshleyAlisha,,0.098737,0.117411
ScottChesak,ScottChesak,,0.176525,0.088821
효린,효린,,0.195534,0.048204
JUNNY,JUNNY,,0.012836,0.046887
이우민'Collapsedone',이우민'Collapsedone',,0.142845,0.165324
TimTan,TimTan,,0.04481,0.032389
robbin,robbin,,0.097041,0.07358
HyukShin,HyukShin,,0.081345,0.071206
MikeJiminez,MikeJiminez,,0.022063,0.013848
별들의전쟁,별들의전쟁,,0.288107,0.046205
LevenKali,LevenKali,,0.006474,0.018329
김선민,김선민,,0.024133,0.003154
MarcusLomax,MarcusLomax,,0.011318,0.088821
LILG,LILG,,0.012714,0.006248
유영진,유영진,,0.739304,0.22658
AndrewScott,AndrewScott,,0.166052,0.045591
KirstenCollins,KirstenCollins,,0.053907,0.088821
JakeTorrey,JakeTorrey,,0.006003,0.013848
샘카터,샘카터,,0.020477,0.012581
NickyvanderLugtMelsert,NickyvanderLugtMelsert,,0.006474,0.018329
티아라,티아라,,0.014259,0.007897
린다G,린다G,,0.435609,0.040529
highseAson,highseAson,,0.499476,0.030704
NCTDREAM,NCTDREAM,,0.48591,0.277384
식케이,식케이,,0.018766,0.011749
Rado,Rado,,0.014699,0.013738
준케이,준케이,,0.072435,0.005448
정은지,정은지,,0.353106,0.007221
휘인(WheeIn),휘인(WheeIn),,0.028782,0.020316
RyanLinvill,RyanLinvill,,0.01928,0.034368
원더키,원더키,,0.076068,0.032389
AlbinNordqvist,AlbinNordqvist,,0.028833,0.018329
BrittPols,BrittPols,,0.025421,0.07358
Saimon,Saimon,,0.094033,0.031013
민니,민니,,0.010667,0.010551
황현,황현,,0.028112,0.02111
ron,ron,,0.012836,0.046887
IU,IU,,0.314886,0.10989
이영훈,이영훈,,0.000305,0.008244
손영진,손영진,,0.011318,0.036846
Dominsuk,Dominsuk,,0.077776,0.008258
Arston,Arston,,0.042412,0.064554
정기석,정기석,,0.592544,0.168484
신지훈,신지훈,,0.01847,0.102599
YOUHA,YOUHA,,0.011901,0.01251
AstonRudi,AstonRudi,,0.054237,0.009294
BottlePaik,BottlePaik,,0.039099,0.0092
하이라이트(Highlight),하이라이트(Highlight),,0.112373,0.065083
EmilyWeisband,EmilyWeisband,,0.184999,0.064554
주찬양,주찬양,,0.026908,0.016462
KENZIE,KENZIE,,0.198861,0.328605
를,를,,0.072435,0.005448
WayneHector,WayneHector,,0.013704,0.053933
